MAPREF,NAME,ADDRESS,BEDSPACES,STATUS,APPLNO,UPRN,BOUNDARY,OBJECTID,TYPE,STATUS2,Shape__Area,Shape__Length,NOTES,X,Y
46,Richmond Terrace,30 - 35 Richmond Terrace Clifton Bristol BS8 1AD,92,Student accommodation,n/a,000000320244,UPRN extent,1531,,Student accommodation as at 11 Sept 2024,1556.20645,160.0576013, ,357485,173136
47,Centre Gate,Centre Gate Colston Avenue Bristol BS1 4TR,88,Student accommodation,n/a,000000248940,UPRN extent,1532,,Student accommodation as at 11 Sept 2024,376.2,95.78912796, ,358654,173159
48,College Green,39 - 43 College Green Bristol BS1 5SH,84,Student accommodation,n/a,000000107203,UPRN extent,1533,,Student accommodation as at 11 Sept 2024,658.37,116.4465841, ,358460,172781
49,The Platform,The Platform Station Road Montpelier Bristol BS6 5EE,83,Student accommodation,n/a,000000339486,UPRN extent,1534,,Student accommodation as at 11 Sept 2024,1559.9027,173.861072, ,359021,174554
50,Harbour Court,Harbour Court Anchor Road Bristol BS1 5TP,132,Student accommodation,n/a,000000354675,UPRN extent,1535,,Student accommodation as at 11 Sept 2024,994.101698,140.7190812, ,358179,172603
51,The Colston,The Colston 8 Colston Avenue Bristol BS1 4ST,78,Student accommodation,n/a,000000260113,UPRN extent,1536,,Student accommodation as at 11 Sept 2024,882.96625,125.9565119, ,358641,172959
52,William & Matthew Houses,William And Matthew House 32 Colston Street Bristol BS1 5AE,75,Student accommodation,n/a,000000365821,UPRN extent,1537,,Student accommodation as at 11 Sept 2024,776.773,151.2277891, ,358586,173107
53,Hodgkin House,Hodgkin House 3 - 7 Meridian Place Bristol BS8 1JG,64,Student accommodation,n/a,000000267126,UPRN extent,1538,,Student accommodation as at 11 Sept 2024,798.16405,119.2944901, ,357640,173184
54,Tamarillo House,Tamarillo House 62 - 64 Whiteladies Road Bristol BS8 2QA,63,Student accommodation,n/a,000000075627,UPRN extent,1539,,Student accommodation as at 11 Sept 2024,638.885,130.9637222, ,357657,174247
55,Dowry Mews,Dowry Mews 256 Hotwell Road Bristol BS8 4SN,60,Student accommodation,n/a,000000110789,UPRN extent,1540,,Student accommodation as at 11 Sept 2024,507.21825,112.0903517, ,357037,172612
56,Stonebridge House,Stonebridge House Colston Avenue Bristol BS1 4TN,58,Student accommodation,n/a,000000101513,UPRN extent,1541,,Student accommodation as at 11 Sept 2024,318.8825,73.4493785, ,358647,173138
57,St Stephens House,St Stephens House Colston Avenue Bristol BS1 4SR,72,Student accommodation,n/a,000000103940,UPRN extent,1542,,Student accommodation as at 11 Sept 2024,399.83625,84.93054357, ,358668,172995
58,Kings House,Kings House Little Paul Street Bristol BS2 8FD,51,Student accommodation,n/a,000000356974,UPRN extent,1543,,Student accommodation as at 11 Sept 2024,435.87234,92.47736629, ,358403,173731
